target_col,feature_label,split_type,model_name,task_type,eval_group,frontier_idx,segment_min,segment_max,segments_included,data_size_n,test_segment,test_spearman,test_pearson,test_r2,test_mae,test_rmse,n_folds
foldchange_ABTS_activity_25C,esm2_seq_embeddings,random,ridge,regression,all_data,,,,,282,,0.47966,0.57218,0.09154,0.61504,0.9861799999999998,5
foldchange_ABTS_activity_25C,esm2_seq_embeddings,random,xgboost,regression,all_data,,,,,282,,0.63082,0.61808,0.12471999999999998,0.53008,0.93826,5
foldchange_ABTS_activity_25C,esm2_seq_embeddings_LLR,random,ridge,regression,all_data,,,,,282,,0.49487999999999993,0.5587199999999999,0.23484,0.57192,0.8985,5
foldchange_ABTS_activity_25C,esm2_seq_embeddings_LLR,random,xgboost,regression,all_data,,,,,282,,0.6402,0.6234,0.15212,0.5241800000000001,0.9234600000000001,5
foldchange_ABTS_activity_25C,esmc_seq_embeddings,random,ridge,regression,all_data,,,,,282,,0.42152,0.31182,-3.3297800000000004,1.13072,2.0027999999999997,5
foldchange_ABTS_activity_25C,esmc_seq_embeddings,random,xgboost,regression,all_data,,,,,282,,0.60128,0.57182,-0.37142,0.5292600000000001,1.02382,5
foldchange_ABTS_activity_25C,esmc_seq_embeddings_LLR,random,ridge,regression,all_data,,,,,282,,0.42985999999999996,0.31662,-3.3318199999999996,1.13074,2.00102,5
foldchange_ABTS_activity_25C,esmc_seq_embeddings_LLR,random,xgboost,regression,all_data,,,,,282,,0.6108800000000001,0.59894,-0.26192,0.52152,0.9949999999999999,5
foldchange_ABTS_activity_25C,georgiev,random,ridge,regression,all_data,,,,,282,,0.65956,0.67856,0.20065999999999998,0.51376,0.86174,5
foldchange_ABTS_activity_25C,georgiev,random,xgboost,regression,all_data,,,,,282,,0.72372,0.62848,0.1476,0.47016,0.9178200000000001,5
foldchange_ABTS_activity_25C,georgiev_esm2_LLR,random,ridge,regression,all_data,,,,,282,,0.67544,0.68774,0.2212,0.51012,0.8541000000000001,5
foldchange_ABTS_activity_25C,georgiev_esm2_LLR,random,xgboost,regression,all_data,,,,,282,,0.68794,0.68638,0.42084,0.45486000000000004,0.79226,5
foldchange_ABTS_activity_25C,georgiev_esmc_LLR,random,ridge,regression,all_data,,,,,282,,0.67994,0.68898,0.22462,0.50954,0.8527799999999999,5
foldchange_ABTS_activity_25C,georgiev_esmc_LLR,random,xgboost,regression,all_data,,,,,282,,0.73186,0.6709799999999999,0.22928,0.47686,0.87902,5
foldchange_ABTS_activity_25C,onehot,random,ridge,regression,all_data,,,,,282,,0.6673199999999999,0.6874399999999999,0.2931,0.48705999999999994,0.8297399999999999,5
foldchange_ABTS_activity_25C,onehot,random,xgboost,regression,all_data,,,,,282,,0.6939599999999999,0.61188,0.11993999999999998,0.47997999999999996,0.9333400000000001,5
foldchange_ABTS_activity_25C,onehot_esm2_LLR,random,ridge,regression,all_data,,,,,282,,0.68108,0.70392,0.31944,0.48352000000000006,0.8186,5
foldchange_ABTS_activity_25C,onehot_esm2_LLR,random,xgboost,regression,all_data,,,,,282,,0.69992,0.6845399999999999,0.41986,0.44421999999999995,0.79366,5
foldchange_ABTS_activity_25C,onehot_esmc_LLR,random,ridge,regression,all_data,,,,,282,,0.69704,0.70508,0.32474,0.48362,0.8169000000000001,5
foldchange_ABTS_activity_25C,onehot_esmc_LLR,random,xgboost,regression,all_data,,,,,282,,0.7365,0.67408,0.2166,0.46679999999999994,0.88458,5
foldchange_NBD_activity_25C,esm2_seq_embeddings,random,ridge,regression,all_data,,,,,282,,0.60006,0.59252,0.15434,0.46548,0.58464,5
foldchange_NBD_activity_25C,esm2_seq_embeddings,random,xgboost,regression,all_data,,,,,282,,0.64476,0.61302,0.32898,0.38133999999999996,0.5186200000000001,5
foldchange_NBD_activity_25C,esm2_seq_embeddings_LLR,random,ridge,regression,all_data,,,,,282,,0.55568,0.55758,0.30435999999999996,0.41550000000000004,0.53084,5
foldchange_NBD_activity_25C,esm2_seq_embeddings_LLR,random,xgboost,regression,all_data,,,,,282,,0.6394,0.61254,0.32666000000000006,0.376,0.51898,5
foldchange_NBD_activity_25C,esmc_seq_embeddings,random,ridge,regression,all_data,,,,,282,,0.4995,0.37729999999999997,-1.20298,0.60926,0.94116,5
foldchange_NBD_activity_25C,esmc_seq_embeddings,random,xgboost,regression,all_data,,,,,282,,0.66076,0.64108,0.34862000000000004,0.37974,0.51126,5
foldchange_NBD_activity_25C,esmc_seq_embeddings_LLR,random,ridge,regression,all_data,,,,,282,,0.4928800000000001,0.37316,-1.23582,0.61192,0.94784,5
foldchange_NBD_activity_25C,esmc_seq_embeddings_LLR,random,xgboost,regression,all_data,,,,,282,,0.65976,0.64112,0.35497999999999996,0.37523999999999996,0.50912,5
foldchange_NBD_activity_25C,georgiev,random,ridge,regression,all_data,,,,,282,,0.7116,0.6892199999999999,0.45262,0.33552,0.4701000000000001,5
foldchange_NBD_activity_25C,georgiev,random,xgboost,regression,all_data,,,,,282,,0.71044,0.6707599999999999,0.40937999999999997,0.33836,0.4864,5
foldchange_NBD_activity_25C,georgiev_esm2_LLR,random,ridge,regression,all_data,,,,,282,,0.72456,0.70372,0.47515999999999997,0.33148,0.46007999999999993,5
foldchange_NBD_activity_25C,georgiev_esm2_LLR,random,xgboost,regression,all_data,,,,,282,,0.69572,0.6622,0.40266,0.33912,0.48788,5
foldchange_NBD_activity_25C,georgiev_esmc_LLR,random,ridge,regression,all_data,,,,,282,,0.7242200000000001,0.7030799999999999,0.4744,0.33092,0.46044,5
foldchange_NBD_activity_25C,georgiev_esmc_LLR,random,xgboost,regression,all_data,,,,,282,,0.6891,0.65166,0.34784,0.35314,0.51022,5
foldchange_NBD_activity_25C,onehot,random,ridge,regression,all_data,,,,,282,,0.71288,0.6921999999999999,0.46071999999999996,0.33226,0.46596000000000004,5
foldchange_NBD_activity_25C,onehot,random,xgboost,regression,all_data,,,,,282,,0.6803600000000001,0.64758,0.36795999999999995,0.35718,0.5038199999999999,5
foldchange_NBD_activity_25C,onehot_esm2_LLR,random,ridge,regression,all_data,,,,,282,,0.7370599999999999,0.71512,0.49618,0.32286000000000004,0.45039999999999997,5
foldchange_NBD_activity_25C,onehot_esm2_LLR,random,xgboost,regression,all_data,,,,,282,,0.6894199999999999,0.65758,0.39338,0.34724,0.49240000000000006,5
foldchange_NBD_activity_25C,onehot_esmc_LLR,random,ridge,regression,all_data,,,,,282,,0.73214,0.71278,0.49262000000000006,0.32462,0.45192,5
foldchange_NBD_activity_25C,onehot_esmc_LLR,random,xgboost,regression,all_data,,,,,282,,0.69346,0.6609200000000001,0.35614,0.3471,0.50796,5
