target_col,feature_label,split_type,split_id,model_name,task_type,n,p,n_train,n_test,model_params,test_spearman,test_pearson,test_r2,test_mae,test_rmse,train_spearman,train_pearson,train_r2,train_mae,train_rmse
foldchange_NBD_activity_25C,onehot,random,0,rf,regression,282,4860,225,57,"{'n_estimators': 300, 'random_state': 42, 'n_jobs': -1}",0.6745,0.6405,0.3608,0.3515,0.511,0.9706,0.9658,0.9175,0.1287,0.1837
foldchange_NBD_activity_25C,onehot,random,0,ridge,regression,282,4860,225,57,{'alpha': 1.0},0.6751,0.6434,0.3557,0.3507,0.513,0.8822,0.8578,0.7296,0.2177,0.3324
foldchange_NBD_activity_25C,onehot,random,0,xgboost,regression,282,4860,225,57,"{'n_estimators': 400, 'learning_rate': 0.05, 'max_depth': 6, 'random_state': 42}",0.6338,0.6055,0.189,0.4079,0.5755,0.9659,0.9637,0.9214,0.1202,0.1792
foldchange_NBD_activity_25C,onehot,random,1,rf,regression,282,4860,225,57,"{'n_estimators': 300, 'random_state': 42, 'n_jobs': -1}",0.77,0.7173,0.51,0.2882,0.4071,0.967,0.9649,0.9131,0.1342,0.193
foldchange_NBD_activity_25C,onehot,random,1,ridge,regression,282,4860,225,57,{'alpha': 1.0},0.7744,0.766,0.5777,0.2739,0.3779,0.8772,0.8668,0.7418,0.2259,0.3327
foldchange_NBD_activity_25C,onehot,random,1,xgboost,regression,282,4860,225,57,"{'n_estimators': 400, 'learning_rate': 0.05, 'max_depth': 6, 'random_state': 42}",0.7514,0.6793,0.4457,0.3109,0.433,0.9397,0.9385,0.873,0.1506,0.2334
foldchange_NBD_activity_25C,onehot,random,2,rf,regression,282,4860,226,56,"{'n_estimators': 300, 'random_state': 42, 'n_jobs': -1}",0.699,0.6017,0.3034,0.358,0.5225,0.9719,0.9699,0.9278,0.1222,0.1731
foldchange_NBD_activity_25C,onehot,random,2,ridge,regression,282,4860,226,56,{'alpha': 1.0},0.7246,0.6129,0.3619,0.3433,0.5001,0.8931,0.881,0.7688,0.2196,0.3099
foldchange_NBD_activity_25C,onehot,random,2,xgboost,regression,282,4860,226,56,"{'n_estimators': 400, 'learning_rate': 0.05, 'max_depth': 6, 'random_state': 42}",0.6742,0.5947,0.3108,0.3571,0.5197,0.9605,0.9595,0.9153,0.1301,0.1875
foldchange_NBD_activity_25C,onehot,random,3,rf,regression,282,4860,226,56,"{'n_estimators': 300, 'random_state': 42, 'n_jobs': -1}",0.6185,0.6106,0.3682,0.4087,0.5682,0.9702,0.9679,0.9212,0.1246,0.1744
foldchange_NBD_activity_25C,onehot,random,3,ridge,regression,282,4860,226,56,{'alpha': 1.0},0.6413,0.6777,0.4524,0.376,0.529,0.8949,0.8782,0.763,0.2097,0.3024
