target_col,feature_label,split_type,split_id,model_name,task_type,n,p,n_train,n_test,model_params,test_spearman,test_pearson,test_r2,test_mae,test_rmse,train_spearman,train_pearson,train_r2,train_mae,train_rmse
foldchange_NBD_activity_25C,onehot,random,0,mlp_sklearn,regression,282,4860,225,57,"{'hidden_layer_sizes': (64, 64), 'solver': 'adam', 'learning_rate_init': 0.001, 'batch_size': 32, 'max_iter': 400, 'early_stopping': True, 'n_iter_no_change': 15, 'tol': 1e-05, 'random_state': 42}",0.6585,0.6209,0.341,0.351,0.5188,0.8704,0.8489,0.7063,0.2373,0.3464
foldchange_NBD_activity_25C,onehot,random,0,mlp_pytorch,regression,282,4860,225,57,"{'n_layers': 2, 'hidden_size': 32, 'batch_size': 32, 'learning_rate': 0.001, 'max_epochs': 400, 'patience': 15, 'min_delta': 1e-05, 'validation_split': 0.2, 'random_state': 42, 'device': 'cpu'}",0.6868,0.637,0.3668,0.3413,0.5086,0.8637,0.8386,0.6914,0.2466,0.3551
foldchange_NBD_activity_25C,onehot,random,1,mlp_sklearn,regression,282,4860,225,57,"{'hidden_layer_sizes': (64, 64), 'solver': 'adam', 'learning_rate_init': 0.001, 'batch_size': 32, 'max_iter': 400, 'early_stopping': True, 'n_iter_no_change': 15, 'tol': 1e-05, 'random_state': 42}",0.765,0.7091,0.4222,0.3263,0.4421,0.8509,0.8344,0.6381,0.2848,0.3939
foldchange_NBD_activity_25C,onehot,random,1,mlp_pytorch,regression,282,4860,225,57,"{'n_layers': 2, 'hidden_size': 32, 'batch_size': 32, 'learning_rate': 0.001, 'max_epochs': 400, 'patience': 15, 'min_delta': 1e-05, 'validation_split': 0.2, 'random_state': 42, 'device': 'cpu'}",0.7416,0.7035,0.4453,0.3185,0.4331,0.8493,0.83,0.675,0.2624,0.3733
foldchange_NBD_activity_25C,onehot,random,2,mlp_sklearn,regression,282,4860,226,56,"{'hidden_layer_sizes': (64, 64), 'solver': 'adam', 'learning_rate_init': 0.001, 'batch_size': 32, 'max_iter': 400, 'early_stopping': True, 'n_iter_no_change': 15, 'tol': 1e-05, 'random_state': 42}",0.6966,0.6053,0.2795,0.3893,0.5314,0.8566,0.8355,0.6504,0.2798,0.381
foldchange_NBD_activity_25C,onehot,random,2,mlp_pytorch,regression,282,4860,226,56,"{'n_layers': 2, 'hidden_size': 32, 'batch_size': 32, 'learning_rate': 0.001, 'max_epochs': 400, 'patience': 15, 'min_delta': 1e-05, 'validation_split': 0.2, 'random_state': 42, 'device': 'cpu'}",0.6573,0.5804,0.2743,0.3812,0.5333,0.8617,0.8394,0.6827,0.2616,0.363
foldchange_NBD_activity_25C,onehot,random,3,mlp_sklearn,regression,282,4860,226,56,"{'hidden_layer_sizes': (64, 64), 'solver': 'adam', 'learning_rate_init': 0.001, 'batch_size': 32, 'max_iter': 400, 'early_stopping': True, 'n_iter_no_change': 15, 'tol': 1e-05, 'random_state': 42}",0.6073,0.6667,0.3798,0.4321,0.563,0.8703,0.8353,0.621,0.2801,0.3824
foldchange_NBD_activity_25C,onehot,random,3,mlp_pytorch,regression,282,4860,226,56,"{'n_layers': 2, 'hidden_size': 32, 'batch_size': 32, 'learning_rate': 0.001, 'max_epochs': 400, 'patience': 15, 'min_delta': 1e-05, 'validation_split': 0.2, 'random_state': 42, 'device': 'cpu'}",0.6372,0.6719,0.4406,0.3951,0.5347,0.8612,0.8297,0.686,0.2354,0.3481
foldchange_NBD_activity_25C,onehot,random,4,mlp_sklearn,regression,282,4860,226,56,"{'hidden_layer_sizes': (64, 64), 'solver': 'adam', 'learning_rate_init': 0.001, 'batch_size': 32, 'max_iter': 400, 'early_stopping': True, 'n_iter_no_change': 15, 'tol': 1e-05, 'random_state': 42}",0.7352,0.7626,0.5679,0.3365,0.4043,0.8258,0.7968,0.6063,0.2836,0.4034
foldchange_NBD_activity_25C,onehot,random,4,mlp_pytorch,regression,282,4860,226,56,"{'n_layers': 2, 'hidden_size': 32, 'batch_size': 32, 'learning_rate': 0.001, 'max_epochs': 400, 'patience': 15, 'min_delta': 1e-05, 'validation_split': 0.2, 'random_state': 42, 'device': 'cpu'}",0.7189,0.7564,0.5571,0.3334,0.4093,0.8145,0.7821,0.5937,0.2897,0.4098
foldchange_NBD_activity_25C,onehot,custom,0,mlp_sklearn,regression,334,4860,282,52,"{'hidden_layer_sizes': (64, 64), 'solver': 'adam', 'learning_rate_init': 0.001, 'batch_size': 32, 'max_iter': 400, 'early_stopping': True, 'n_iter_no_change': 15, 'tol': 1e-05, 'random_state': 42}",0.4779,0.4777,-0.6786,3.1397,3.7258,0.8936,0.8766,0.7395,0.2346,0.3271
foldchange_NBD_activity_25C,onehot,custom,0,mlp_pytorch,regression,334,4860,282,52,"{'n_layers': 2, 'hidden_size': 32, 'batch_size': 32, 'learning_rate': 0.001, 'max_epochs': 400, 'patience': 15, 'min_delta': 1e-05, 'validation_split': 0.2, 'random_state': 42, 'device': 'cpu'}",0.6256,0.6391,-1.2163,3.5458,4.2812,0.8351,0.8095,0.6516,0.2588,0.3783
foldchange_ABTS_activity_25C,onehot,random,0,mlp_sklearn,regression,282,4860,225,57,"{'hidden_layer_sizes': (64, 64), 'solver': 'adam', 'learning_rate_init': 0.001, 'batch_size': 32, 'max_iter': 400, 'early_stopping': True, 'n_iter_no_change': 15, 'tol': 1e-05, 'random_state': 42}",0.7092,0.7282,0.4205,0.3677,0.5013,0.8339,0.802,0.6121,0.3952,0.727
foldchange_ABTS_activity_25C,onehot,random,0,mlp_pytorch,regression,282,4860,225,57,"{'n_layers': 2, 'hidden_size': 32, 'batch_size': 32, 'learning_rate': 0.001, 'max_epochs': 400, 'patience': 15, 'min_delta': 1e-05, 'validation_split': 0.2, 'random_state': 42, 'device': 'cpu'}",0.7027,0.7465,0.2433,0.3819,0.5728,0.8572,0.7842,0.604,0.3605,0.7346
foldchange_ABTS_activity_25C,onehot,random,1,mlp_sklearn,regression,282,4860,225,57,"{'hidden_layer_sizes': (64, 64), 'solver': 'adam', 'learning_rate_init': 0.001, 'batch_size': 32, 'max_iter': 400, 'early_stopping': True, 'n_iter_no_change': 15, 'tol': 1e-05, 'random_state': 42}",0.6954,0.8048,0.6383,0.4042,0.5902,0.8478,0.8057,0.6266,0.3757,0.6764
foldchange_ABTS_activity_25C,onehot,random,1,mlp_pytorch,regression,282,4860,225,57,"{'n_layers': 2, 'hidden_size': 32, 'batch_size': 32, 'learning_rate': 0.001, 'max_epochs': 400, 'patience': 15, 'min_delta': 1e-05, 'validation_split': 0.2, 'random_state': 42, 'device': 'cpu'}",0.7135,0.8495,0.6815,0.4467,0.5538,0.8627,0.7469,0.5304,0.4058,0.7586
foldchange_ABTS_activity_25C,onehot,random,2,mlp_sklearn,regression,282,4860,226,56,"{'hidden_layer_sizes': (64, 64), 'solver': 'adam', 'learning_rate_init': 0.001, 'batch_size': 32, 'max_iter': 400, 'early_stopping': True, 'n_iter_no_change': 15, 'tol': 1e-05, 'random_state': 42}",0.6786,0.7961,0.459,0.546,1.1359,0.8699,0.8097,0.6472,0.3027,0.5561
foldchange_ABTS_activity_25C,onehot,random,2,mlp_pytorch,regression,282,4860,226,56,"{'n_layers': 2, 'hidden_size': 32, 'batch_size': 32, 'learning_rate': 0.001, 'max_epochs': 400, 'patience': 15, 'min_delta': 1e-05, 'validation_split': 0.2, 'random_state': 42, 'device': 'cpu'}",0.5228,0.6852,-0.0115,0.7142,1.5532,0.8061,0.7185,-0.0053,0.6092,0.9387
foldchange_ABTS_activity_25C,onehot,random,3,mlp_sklearn,regression,282,4860,226,56,"{'hidden_layer_sizes': (64, 64), 'solver': 'adam', 'learning_rate_init': 0.001, 'batch_size': 32, 'max_iter': 400, 'early_stopping': True, 'n_iter_no_change': 15, 'tol': 1e-05, 'random_state': 42}",0.5187,0.4408,0.1304,0.5695,1.1424,0.8992,0.8966,0.7385,0.3395,0.5354
foldchange_ABTS_activity_25C,onehot,random,3,mlp_pytorch,regression,282,4860,226,56,"{'n_layers': 2, 'hidden_size': 32, 'batch_size': 32, 'learning_rate': 0.001, 'max_epochs': 400, 'patience': 15, 'min_delta': 1e-05, 'validation_split': 0.2, 'random_state': 42, 'device': 'cpu'}",0.4928,0.4798,-0.0073,0.7104,1.2295,0.788,0.7315,0.005,0.6153,1.0444
foldchange_ABTS_activity_25C,onehot,random,4,mlp_sklearn,regression,282,4860,226,56,"{'hidden_layer_sizes': (64, 64), 'solver': 'adam', 'learning_rate_init': 0.001, 'batch_size': 32, 'max_iter': 400, 'early_stopping': True, 'n_iter_no_change': 15, 'tol': 1e-05, 'random_state': 42}",0.6092,0.6165,0.0866,0.5286,0.7144,0.8721,0.8421,0.7006,0.3233,0.6291
foldchange_ABTS_activity_25C,onehot,random,4,mlp_pytorch,regression,282,4860,226,56,"{'n_layers': 2, 'hidden_size': 32, 'batch_size': 32, 'learning_rate': 0.001, 'max_epochs': 400, 'patience': 15, 'min_delta': 1e-05, 'validation_split': 0.2, 'random_state': 42, 'device': 'cpu'}",0.5911,0.6469,0.2996,0.4685,0.6256,0.7755,0.7624,0.5421,0.3839,0.7781
foldchange_ABTS_activity_25C,onehot,custom,0,mlp_sklearn,regression,334,4860,282,52,"{'hidden_layer_sizes': (64, 64), 'solver': 'adam', 'learning_rate_init': 0.001, 'batch_size': 32, 'max_iter': 400, 'early_stopping': True, 'n_iter_no_change': 15, 'tol': 1e-05, 'random_state': 42}",0.615,0.5874,0.0603,0.7093,0.891,0.828,0.7869,0.5562,0.3957,0.7228
foldchange_ABTS_activity_25C,onehot,custom,0,mlp_pytorch,regression,334,4860,282,52,"{'n_layers': 2, 'hidden_size': 32, 'batch_size': 32, 'learning_rate': 0.001, 'max_epochs': 400, 'patience': 15, 'min_delta': 1e-05, 'validation_split': 0.2, 'random_state': 42, 'device': 'cpu'}",0.6457,0.6083,0.2499,0.6304,0.7961,0.8262,0.7863,0.5877,0.3605,0.6967
