target_col,feature_label,split_type,model_name,task_type,n_test_pooled,n_folds,test_spearman,test_pearson,test_r2,test_mae,test_rmse
foldchange_NBD_activity_25C,onehot,random,rf,regression,282,5,0.6909,0.6431,0.3979,0.3485,0.4973
foldchange_NBD_activity_25C,onehot,random,ridge,regression,282,5,0.7197,0.6824,0.4628,0.3321,0.4697
foldchange_NBD_activity_25C,onehot,random,xgboost,regression,282,5,0.6814,0.6354,0.3738,0.3572,0.5071
foldchange_NBD_activity_25C,georgiev,random,rf,regression,282,5,0.6993,0.6498,0.4118,0.3433,0.4915
foldchange_NBD_activity_25C,georgiev,random,ridge,regression,282,5,0.7198,0.683,0.4564,0.3355,0.4725
foldchange_NBD_activity_25C,georgiev,random,xgboost,regression,282,5,0.7168,0.6632,0.4162,0.3384,0.4897
foldchange_NBD_activity_25C,onehot_esm2_LLR,random,rf,regression,282,5,0.72,0.6708,0.4365,0.3299,0.4811
foldchange_NBD_activity_25C,onehot_esm2_LLR,random,ridge,regression,282,5,0.7405,0.7093,0.5006,0.3227,0.4529
foldchange_NBD_activity_25C,onehot_esm2_LLR,random,xgboost,regression,282,5,0.6841,0.6526,0.4017,0.3475,0.4957
foldchange_NBD_activity_25C,onehot_esmc_LLR,random,rf,regression,282,5,0.7207,0.6749,0.4439,0.3229,0.4779
foldchange_NBD_activity_25C,onehot_esmc_LLR,random,ridge,regression,282,5,0.7388,0.7069,0.497,0.3245,0.4545
foldchange_NBD_activity_25C,onehot_esmc_LLR,random,xgboost,regression,282,5,0.6846,0.6331,0.3495,0.347,0.5169
foldchange_NBD_activity_25C,esm2_seq_embeddings,random,rf,regression,282,5,0.7105,0.6743,0.4531,0.3382,0.474
foldchange_NBD_activity_25C,esm2_seq_embeddings,random,ridge,regression,282,5,0.5886,0.5759,0.1627,0.4651,0.5864
foldchange_NBD_activity_25C,esm2_seq_embeddings,random,xgboost,regression,282,5,0.6433,0.6081,0.3392,0.3813,0.521
foldchange_NBD_activity_25C,esmc_seq_embeddings,random,rf,regression,282,5,0.7099,0.6785,0.4577,0.3432,0.4719
foldchange_NBD_activity_25C,esmc_seq_embeddings,random,ridge,regression,282,5,0.5072,0.3645,-1.2499,0.6092,0.9613
foldchange_NBD_activity_25C,esmc_seq_embeddings,random,xgboost,regression,282,5,0.6535,0.6176,0.3521,0.3795,0.5158
foldchange_NBD_activity_25C,esm2_seq_embeddings_LLR,random,rf,regression,282,5,0.7153,0.6799,0.4605,0.3369,0.4707
foldchange_NBD_activity_25C,esm2_seq_embeddings_LLR,random,ridge,regression,282,5,0.5563,0.5541,0.3057,0.4153,0.534
foldchange_NBD_activity_25C,esm2_seq_embeddings_LLR,random,xgboost,regression,282,5,0.6412,0.6061,0.3368,0.3759,0.5219
foldchange_NBD_activity_25C,esmc_seq_embeddings_LLR,random,rf,regression,282,5,0.7111,0.6793,0.459,0.3431,0.4714
foldchange_NBD_activity_25C,esmc_seq_embeddings_LLR,random,ridge,regression,282,5,0.5046,0.3597,-1.2859,0.6119,0.9689
foldchange_NBD_activity_25C,esmc_seq_embeddings_LLR,random,xgboost,regression,282,5,0.6564,0.6191,0.359,0.375,0.5131
foldchange_NBD_activity_25C,onehot,custom,rf,regression,52,1,0.0445,-0.0837,-2.0331,4.2429,5.0083
foldchange_NBD_activity_25C,onehot,custom,ridge,regression,52,1,0.5655,0.5591,-0.2828,2.769,3.2571
foldchange_NBD_activity_25C,onehot,custom,xgboost,regression,52,1,0.2197,0.1689,-1.1786,3.5304,4.2446
foldchange_NBD_activity_25C,georgiev,custom,rf,regression,52,1,0.0165,-0.0914,-2.036,4.2422,5.0107
foldchange_NBD_activity_25C,georgiev,custom,ridge,regression,52,1,0.4878,0.4856,0.0242,2.4707,2.8407
